period,brand,category,channel,province,units_sold,list_price,std_cost,revenue_zar,gross_margin_zar,trade_spend_zar,net_revenue_zar,weighted_distribution,promo_flag,sku_grade
2024Q1,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,KwaZulu-Natal,34,47.54,27.94,1616.36,666.4,92.56,1523.8,78.0,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,Western Cape,34,49.31,27.4,1676.54,744.94,152.56,1523.98,83.5,0,A
2024Q1,Fanta,Carbonated Soft Drinks,Wholesale,Gauteng,6,50.79,30.03,304.74,124.56,18.79,285.95,68.3,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Mpumalanga,49,55.63,29.89,2725.87,1261.26,146.83,2579.04,53.3,1,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,135,53.71,30.75,7250.85,3099.6,452.41,6798.44,95.6,0,D
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,180,56.32,30.34,10137.6,4676.4,606.42,9531.18,63.9,0,A
2024Q1,Schweppes,Mixers,Convenience,Mpumalanga,47,60.89,33.27,2861.83,1298.14,136.87,2724.96,71.1,0,A
2024Q2,Schweppes,Mixers,On-Trade,Gauteng,27,51.61,27.65,1393.47,646.92,124.39,1269.08,78.7,1,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,104,46.05,25.35,4789.2,2152.8,519.72,4269.48,79.9,1,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,38,49.52,23.95,1881.76,971.66,163.45,1718.31,94.8,0,C
2024Q2,Fanta,Carbonated Soft Drinks,Wholesale,Gauteng,117,45.09,24.54,5275.53,2404.35,441.29,4834.24,94.9,0,B
2024Q3,Powerplay,Energy Drinks,E-Commerce,Gauteng,41,103.07,50.5,4225.87,2155.37,276.87,3949.0,89.8,1,B
2024Q3,Stoney,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,20,63.72,31.64,1274.4,641.6,122.01,1152.39,78.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,63,54.64,28.38,3442.32,1654.38,186.56,3255.76,84.8,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,32,52.51,27.94,1680.32,786.24,171.58,1508.74,63.1,0,A
2024Q1,Sprite,Carbonated Soft Drinks,On-Trade,KwaZulu-Natal,27,60.24,35.25,1626.48,674.73,163.24,1463.24,50.5,0,A
2024Q3,Powerplay,Energy Drinks,Wholesale,KwaZulu-Natal,94,108.65,57.02,10213.1,4853.22,1140.21,9072.89,65.6,1,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,42,51.48,31.56,2162.16,836.64,185.68,1976.48,78.5,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,14,46.97,26.97,657.58,280.0,65.88,591.7,87.0,0,D
2024Q2,Cappy,Juices & Nectars,Wholesale,Gauteng,32,62.06,30.29,1985.92,1016.64,166.74,1819.18,68.4,0,D
2024Q3,Cappy,Juices & Nectars,Wholesale,Gauteng,17,65.14,32.57,1107.38,553.69,111.76,995.62,77.8,1,C
2024Q2,Sprite,Carbonated Soft Drinks,On-Trade,Eastern Cape,40,53.12,26.04,2124.8,1083.2,224.7,1900.1,82.4,1,B
2024Q4,Cappy,Juices & Nectars,Mass Retail,Limpopo,10,59.33,35.23,593.3,241.0,68.69,524.61,97.3,0,A
2024Q2,Cappy,Juices & Nectars,Convenience,Gauteng,18,65.72,38.7,1182.96,486.36,100.16,1082.8,67.5,0,A
2024Q1,Schweppes,Mixers,Convenience,Gauteng,32,52.74,25.4,1687.68,874.88,130.78,1556.9,48.0,1,D
2024Q3,Coca-Cola,Carbonated Soft Drinks,On-Trade,Western Cape,42,48.58,28.39,2040.36,847.98,176.84,1863.52,96.0,0,D
2024Q3,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,Gauteng,57,50.35,25.74,2869.95,1402.77,335.95,2534.0,45.6,0,A
2024Q4,Fanta,Carbonated Soft Drinks,Mass Retail,Eastern Cape,39,50.09,24.56,1953.51,995.67,164.7,1788.81,96.4,0,B
2024Q3,Fanta,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,105,53.88,29.29,5657.4,2581.95,510.32,5147.08,76.0,0,A
2024Q2,Sprite,Carbonated Soft Drinks,Convenience,Free State,190,51.79,26.87,9840.1,4734.8,541.69,9298.41,69.6,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,On-Trade,Western Cape,18,52.65,32.45,947.7,363.6,112.68,835.02,82.0,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Western Cape,70,49.62,28.57,3473.4,1473.5,184.12,3289.28,93.3,0,B
2024Q4,Stoney,Carbonated Soft Drinks,On-Trade,Gauteng,11,68.4,41.76,752.4,293.04,82.23,670.17,47.4,1,C
2024Q1,Powerplay,Energy Drinks,On-Trade,Gauteng,85,104.4,64.54,8874.0,3388.1,461.74,8412.26,76.5,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,30,57.17,30.76,1715.1,792.3,106.12,1608.98,48.0,0,B
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,33,55.58,32.66,1834.14,756.36,211.99,1622.15,90.0,1,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,On-Trade,KwaZulu-Natal,14,51.43,31.56,720.02,278.18,63.72,656.3,57.1,0,C
2024Q2,Cappy,Juices & Nectars,On-Trade,Gauteng,9,73.69,36.54,663.21,334.35,62.16,601.05,72.6,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,KwaZulu-Natal,85,52.3,29.15,4445.5,1967.75,377.31,4068.19,91.5,0,B
2024Q4,Powerplay,Energy Drinks,On-Trade,KwaZulu-Natal,55,120.35,69.63,6619.25,2789.6,377.54,6241.71,52.2,1,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,77,44.7,23.91,3441.9,1600.83,258.14,3183.76,92.9,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,110,52.33,28.02,5756.3,2674.1,516.73,5239.57,90.7,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Western Cape,8,51.79,28.19,414.32,188.8,49.06,365.26,71.1,0,C
2024Q4,Powerade,Sports Drinks,On-Trade,North West,11,71.04,34.85,781.44,398.09,39.31,742.13,51.8,1,B
2024Q4,Stoney,Carbonated Soft Drinks,Convenience,Free State,44,55.18,27.89,2427.92,1200.76,164.26,2263.66,92.5,0,C
2024Q2,Cappy,Juices & Nectars,Convenience,Gauteng,15,69.56,35.26,1043.4,514.5,45.15,998.25,54.0,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Western Cape,30,47.71,24.28,1431.3,702.9,98.96,1332.34,71.7,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,18,52.91,31.87,952.38,378.72,108.26,844.12,48.2,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,54,55.18,27.91,2979.72,1472.58,169.09,2810.63,64.6,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,9,57.71,31.44,519.39,236.43,51.83,467.56,46.9,1,A
2024Q1,Monster,Energy Drinks,Convenience,Eastern Cape,52,113.9,62.83,5922.8,2655.64,489.04,5433.76,50.7,0,C
2024Q3,Cappy,Juices & Nectars,Convenience,Gauteng,9,67.95,35.18,611.55,294.93,42.92,568.63,46.1,0,B
2024Q2,Sprite,Carbonated Soft Drinks,Wholesale,Free State,19,50.58,25.13,961.02,483.55,106.91,854.11,76.5,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Convenience,Western Cape,32,58.18,28.63,1861.76,945.6,154.47,1707.29,76.1,0,C
2024Q1,Monster,Energy Drinks,Wholesale,Northern Cape,14,109.44,56.88,1532.16,735.84,105.79,1426.37,79.2,0,D
2024Q4,Fanta,Carbonated Soft Drinks,On-Trade,Gauteng,10,52.3,25.85,523.0,264.5,27.32,495.68,58.0,1,A
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,20,51.54,25.99,1030.8,511.0,115.18,915.62,49.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,41,51.81,25.68,2124.21,1071.33,152.58,1971.63,96.4,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,20,55.17,27.8,1103.4,547.4,103.16,1000.24,94.3,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,Gauteng,8,54.28,31.9,434.24,179.04,23.87,410.37,62.2,0,D
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,9,52.22,25.91,469.98,236.79,41.76,428.22,60.3,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Wholesale,Western Cape,31,46.98,26.05,1456.38,648.83,64.29,1392.09,62.8,1,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,On-Trade,Eastern Cape,74,49.62,25.59,3671.88,1778.22,347.07,3324.81,85.3,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,4,48.71,25.76,194.84,91.8,22.28,172.56,89.0,0,B
2024Q2,Bonaqua,Water,Convenience,North West,44,38.44,23.5,1691.36,657.36,92.18,1599.18,48.5,0,A
2024Q3,Stoney,Carbonated Soft Drinks,On-Trade,Gauteng,84,60.88,30.41,5113.92,2559.48,529.91,4584.01,55.7,1,C
2024Q1,Fanta,Carbonated Soft Drinks,Mass Retail,Northern Cape,45,48.36,27.72,2176.2,928.8,178.11,1998.09,64.0,0,B
2024Q3,Sprite,Carbonated Soft Drinks,Convenience,Western Cape,86,53.56,29.0,4606.16,2112.16,323.15,4283.01,69.5,0,A
2024Q3,Sprite,Carbonated Soft Drinks,Convenience,Western Cape,33,62.8,32.19,2072.4,1010.13,232.04,1840.36,65.3,0,B
2024Q3,Cappy,Juices & Nectars,On-Trade,Western Cape,39,70.98,35.23,2768.22,1394.25,318.86,2449.36,78.3,0,B
2024Q3,Bonaqua,Water,E-Commerce,Western Cape,43,39.05,22.13,1679.15,727.56,138.83,1540.32,92.4,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,22,48.49,24.96,1066.78,517.66,106.16,960.62,46.8,0,A
2024Q1,Sprite,Carbonated Soft Drinks,On-Trade,Western Cape,48,56.85,30.01,2728.8,1288.32,288.44,2440.36,50.9,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Convenience,Western Cape,26,47.95,28.37,1246.7,509.08,64.82,1181.88,57.2,0,B
2024Q1,Powerplay,Energy Drinks,On-Trade,Gauteng,66,120.23,69.39,7935.18,3355.44,661.94,7273.24,58.3,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,7,58.25,31.73,407.75,185.64,47.21,360.54,53.1,0,C
2024Q1,Schweppes,Mixers,Convenience,Eastern Cape,234,57.93,27.95,13555.62,7015.32,1488.0,12067.62,94.4,0,B
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,48,56.36,32.63,2705.28,1139.04,141.22,2564.06,75.5,0,B
2024Q3,Fanta,Carbonated Soft Drinks,Convenience,Eastern Cape,118,48.0,29.32,5664.0,2204.24,645.95,5018.05,68.9,1,B
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,34,60.22,33.89,2047.48,895.22,147.26,1900.22,47.9,0,B
2024Q2,Cappy,Juices & Nectars,Petrol & Travel,KwaZulu-Natal,14,58.01,32.21,812.14,361.2,92.25,719.89,63.4,0,A
2024Q3,Sprite,Carbonated Soft Drinks,On-Trade,Northern Cape,25,62.76,32.1,1569.0,766.5,119.55,1449.45,52.5,1,D
2024Q3,Monster,Energy Drinks,Mass Retail,Western Cape,3,110.65,67.28,331.95,130.11,22.9,309.05,75.8,0,A
2024Q3,Fanta,Carbonated Soft Drinks,Mass Retail,Northern Cape,26,45.61,22.44,1185.86,602.42,142.01,1043.85,71.6,0,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,Wholesale,Western Cape,33,51.92,26.45,1713.36,840.51,191.63,1521.73,55.9,1,B
2024Q1,Sprite,Carbonated Soft Drinks,Convenience,Gauteng,32,52.96,29.61,1694.72,747.2,76.7,1618.02,86.1,0,B
2024Q4,Monster,Energy Drinks,Mass Retail,Gauteng,3,120.84,64.78,362.52,168.18,30.73,331.79,53.2,1,A
2024Q3,Schweppes,Mixers,Mass Retail,Gauteng,10,53.77,30.66,537.7,231.1,39.09,498.61,46.3,1,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,Western Cape,70,57.31,27.73,4011.7,2070.6,231.71,3779.99,57.2,0,C
2024Q4,Sprite,Carbonated Soft Drinks,Wholesale,Gauteng,21,57.54,32.88,1208.34,517.86,71.36,1136.98,50.3,1,B
2024Q2,Schweppes,Mixers,On-Trade,Eastern Cape,58,59.38,35.4,3444.04,1390.84,247.19,3196.85,80.4,1,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,53,50.73,24.44,2688.69,1393.37,125.94,2562.75,56.0,1,A
2024Q1,Sprite,Carbonated Soft Drinks,On-Trade,Western Cape,42,49.83,26.86,2092.86,964.74,233.17,1859.69,88.3,0,A
2024Q2,Stoney,Carbonated Soft Drinks,On-Trade,Western Cape,18,52.94,29.79,952.92,416.7,58.55,894.37,78.1,0,D
2024Q2,Cappy,Juices & Nectars,On-Trade,KwaZulu-Natal,6,75.93,39.58,455.58,218.1,52.79,402.79,85.5,1,B
2024Q2,Fanta,Carbonated Soft Drinks,On-Trade,Mpumalanga,32,54.46,32.96,1742.72,688.0,181.22,1561.5,67.5,1,A
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Eastern Cape,42,44.91,25.54,1886.22,813.54,114.36,1771.86,52.4,0,B
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,33,56.91,28.68,1878.03,931.59,116.03,1762.0,46.0,0,B
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,38,51.04,26.46,1939.52,934.04,163.57,1775.95,79.5,0,C
2024Q1,Fanta,Carbonated Soft Drinks,Mass Retail,Gauteng,40,53.98,30.45,2159.2,941.2,201.24,1957.96,54.3,0,D
2024Q2,Schweppes,Mixers,Mass Retail,Gauteng,7,51.47,28.44,360.29,161.21,15.77,344.52,53.8,0,B
2024Q4,Schweppes,Mixers,Wholesale,Gauteng,38,53.87,27.71,2047.06,994.08,145.64,1901.42,60.3,0,B
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,15,60.04,33.58,900.6,396.9,70.32,830.28,80.2,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,16,54.94,26.61,879.04,453.28,53.6,825.44,76.5,1,B
2024Q4,Bonaqua,Water,E-Commerce,KwaZulu-Natal,256,40.08,21.11,10260.48,4856.32,1043.21,9217.27,50.6,1,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Eastern Cape,32,59.39,34.23,1900.48,805.12,142.13,1758.35,58.1,0,C
2024Q3,Fanta,Carbonated Soft Drinks,Convenience,Gauteng,54,53.94,27.95,2912.76,1403.46,254.05,2658.71,64.1,1,B
2024Q3,Fanta,Carbonated Soft Drinks,Convenience,Gauteng,31,52.53,26.58,1628.43,804.45,135.73,1492.7,91.3,0,B
2024Q1,Bonaqua,Water,Convenience,KwaZulu-Natal,51,43.88,25.32,2237.88,946.56,241.55,1996.33,58.2,0,A
2024Q3,Schweppes,Mixers,E-Commerce,KwaZulu-Natal,46,58.29,29.45,2681.34,1326.64,229.08,2452.26,93.5,1,B
2024Q1,Fanta,Carbonated Soft Drinks,Mass Retail,Northern Cape,13,54.26,33.07,705.38,275.47,83.01,622.37,95.0,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Western Cape,33,52.15,27.36,1720.95,818.07,182.96,1537.99,47.0,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Northern Cape,23,50.74,24.9,1167.02,594.32,111.69,1055.33,63.0,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,28,50.19,27.88,1405.32,624.68,145.11,1260.21,61.9,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Western Cape,41,55.73,28.57,2284.93,1113.56,95.86,2189.07,91.1,1,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,35,56.46,34.52,1976.1,767.9,205.32,1770.78,97.9,0,C
2024Q4,Sprite,Carbonated Soft Drinks,Convenience,Western Cape,21,61.61,33.71,1293.81,585.9,116.7,1177.11,91.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,23,58.07,31.3,1335.61,615.71,132.23,1203.38,57.7,1,A
2024Q4,Cappy,Juices & Nectars,Mass Retail,Eastern Cape,11,61.95,32.31,681.45,326.04,39.99,641.46,47.2,1,B
2024Q4,Schweppes,Mixers,E-Commerce,Northern Cape,32,58.41,31.18,1869.12,871.36,176.39,1692.73,56.6,0,D
2024Q1,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,Western Cape,72,51.13,31.3,3681.36,1427.76,284.91,3396.45,77.5,1,C
2024Q2,Sprite,Carbonated Soft Drinks,Convenience,Western Cape,37,57.55,32.52,2129.35,926.11,172.51,1956.84,57.2,1,B
2024Q3,Schweppes,Mixers,Mass Retail,Western Cape,20,54.79,32.28,1095.8,450.2,74.53,1021.27,48.1,0,B
2024Q4,Stoney,Carbonated Soft Drinks,On-Trade,Limpopo,103,56.94,32.88,5864.82,2478.18,306.8,5558.02,88.2,1,D
2024Q1,Schweppes,Mixers,Wholesale,Western Cape,38,50.39,28.37,1914.82,836.76,165.45,1749.37,49.8,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,20,50.41,30.47,1008.2,398.8,117.41,890.79,90.7,0,C
2024Q1,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,56,64.27,31.63,3599.12,1827.84,261.57,3337.55,64.8,1,B
2024Q1,Stoney,Carbonated Soft Drinks,Wholesale,Gauteng,32,68.23,33.52,2183.36,1110.72,125.79,2057.57,81.2,1,B
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,32,60.63,33.18,1940.16,878.4,169.56,1770.6,88.7,0,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,57,59.71,30.89,3403.47,1642.74,375.37,3028.1,87.3,0,B
2024Q4,Fanta,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,63,52.08,30.08,3281.04,1386.0,309.77,2971.27,77.8,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Mpumalanga,28,52.63,27.73,1473.64,697.2,146.6,1327.04,53.5,0,A
2024Q4,Bonaqua,Water,Petrol & Travel,Gauteng,33,44.52,21.41,1469.16,762.63,92.5,1376.66,77.7,0,C
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,Northern Cape,11,58.68,33.37,645.48,278.41,53.7,591.78,86.3,1,A
2024Q3,Sprite,Carbonated Soft Drinks,Convenience,Gauteng,40,62.36,38.34,2494.4,960.8,168.0,2326.4,78.5,0,A
2024Q1,Monster,Energy Drinks,Convenience,Gauteng,23,112.86,58.93,2595.78,1240.39,250.89,2344.89,48.6,0,D
2024Q2,Cappy,Juices & Nectars,E-Commerce,Mpumalanga,86,58.71,28.56,5049.06,2592.9,554.0,4495.06,96.6,0,B
2024Q2,Sprite,Carbonated Soft Drinks,On-Trade,KwaZulu-Natal,21,57.04,33.43,1197.84,495.81,50.27,1147.57,46.2,0,B
2024Q4,Powerplay,Energy Drinks,On-Trade,Gauteng,115,107.9,62.11,12408.5,5265.85,938.98,11469.52,59.5,0,A
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Mpumalanga,10,45.63,22.95,456.3,226.8,47.27,409.03,81.8,1,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,40,49.68,28.4,1987.2,851.2,122.93,1864.27,95.4,1,B
2024Q4,Bonaqua,Water,E-Commerce,Gauteng,55,40.07,21.59,2203.85,1016.4,200.73,2003.12,66.1,1,D
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Free State,31,53.04,32.1,1644.24,649.14,96.02,1548.22,56.3,1,D
2024Q4,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,Limpopo,12,58.03,34.88,696.36,277.8,54.22,642.14,96.3,1,D
2024Q1,Cappy,Juices & Nectars,Convenience,Eastern Cape,43,69.3,40.74,2979.9,1228.08,320.59,2659.31,85.3,0,B
