sku,uom_level,article_no,nbs_item,category,brand,variant,description,pack_size,pack_ml,material,uom,base_qty,units_per_case,cases_per_layer,layers_per_pallet,gross_wt,net_wt,std_cost,list_price,barcode_type,barcode,is_sellable,is_orderable
SKU000030,EA,10001337,2659400,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L Can,1.5L,1500,CAN,EA,1,8,4,4,1.52,1.5,6.81,10.55,EAN-13,6001000000131,1,0
SKU000031,CS,10001392,2110987,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L Can Case 8,8 x 1.5L,1500,CAN,CS,8,8,4,4,12.56,12.0,54.48,84.44,GTIN-14,16001000000138,0,1
SKU000032,DSP,10001381,3260634,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L Can Display 4,4 x 1.5L,1500,CAN,DSP,4,4,4,4,6.18,6.0,27.24,43.91,GTIN-14,26001000000135,1,1
SKU000033,EA,10001443,2796981,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L PET Bottle,1.5L,1500,PET,EA,1,8,4,4,1.53,1.5,5.83,9.04,EAN-13,6001000000148,1,0
SKU000034,CS,10001484,1919897,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L PET Bottle Case 8,8 x 1.5L,1500,PET,CS,8,8,4,4,12.64,12.0,46.64,72.29,GTIN-14,16001000000145,0,1
SKU000035,EA,10001527,1381301,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L Returnable Glass,1.5L,1500,RGB,EA,1,8,4,4,1.8,1.5,4.85,7.52,EAN-13,6001000000155,1,0
SKU000036,CS,10001516,1641062,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 1.5L Returnable Glass Case 8,8 x 1.5L,1500,RGB,CS,8,8,4,4,14.8,12.0,38.8,60.14,GTIN-14,16001000000152,0,1
SKU000037,EA,10001697,1266454,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000162,1,0
SKU000038,CS,10001659,2963143,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000169,0,1
SKU000039,EA,10001780,1048154,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000179,1,0
SKU000040,CS,10001797,3859300,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000176,0,1
SKU000041,EA,10001844,2426799,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L Returnable Glass,2L,2000,RGB,EA,1,6,4,3,2.3,2.0,6.04,9.36,EAN-13,6001000000186,1,0
SKU000042,CS,10001824,1663361,Carbonated Soft Drinks,Coca-Cola,Original,Coca-Cola 2L Returnable Glass Case 6,6 x 2L,2000,RGB,CS,6,6,4,3,14.2,12.0,36.24,56.17,GTIN-14,16001000000183,0,1
SKU000043,EA,10001943,1749320,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000193,1,0
SKU000044,CS,10001974,3622699,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000190,0,1
SKU000045,DSP,10001991,3129292,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 330ml Can Display 6,6 x 330ml,330,CAN,DSP,6,6,8,5,2.2,1.98,22.56,36.37,GTIN-14,26001000000197,1,1
SKU000046,EA,10002087,2568308,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000209,1,0
SKU000047,CS,10002030,3224464,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000206,0,1
SKU000048,EA,10002186,1081691,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 440ml Can,440ml,440,CAN,EA,1,24,8,5,0.46,0.44,4.05,6.28,EAN-13,6001000000216,1,0
SKU000049,CS,10002124,2289807,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 440ml Can Case 24,24 x 440ml,440,CAN,CS,24,24,8,5,11.44,10.56,97.2,150.66,GTIN-14,16001000000213,0,1
SKU000050,DSP,10002140,3379667,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 440ml Can Display 6,6 x 440ml,440,CAN,DSP,6,6,8,5,2.86,2.64,24.3,39.17,GTIN-14,26001000000210,1,1
SKU000051,EA,10002220,0000000,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 440ml PET Bottle,440ml,440,PET,EA,1,24,8,5,0.47,0.44,3.19,4.94,EAN-13,6001000000223,1,0
SKU000052,CS,10002272,3234331,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 440ml PET Bottle Case 24,24 x 440ml,440,PET,CS,24,24,8,5,11.68,10.56,76.56,118.67,GTIN-14,16001000000220,0,1
SKU000053,EA,10002326,3306043,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000230,1,0
SKU000054,CS,10002331,3544239,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000237,0,1
SKU000055,EA,10002437,3893514,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000247,1,0
SKU000056,CS,10002435,2673494,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000244,0,1
SKU000057,EA,10002593,3170870,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.51,8.54,EAN-13,6001000000254,1,0
SKU000058,CS,10002567,0000000,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,66.12,102.49,GTIN-14,16001000000251,0,1
SKU000059,DSP,10002553,1088224,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 1L Can Display 6,6 x 1L,1000,CAN,DSP,6,6,5,4,6.22,6.0,33.06,53.29,GTIN-14,26001000000258,1,1
SKU000060,EA,10002685,3468096,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.59,7.11,EAN-13,6001000000261,1,0
SKU000061,CS,10002638,0000000,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,55.08,85.37,GTIN-14,16001000000268,0,1
SKU000062,EA,10002717,1131755,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000278,1,0
SKU000063,CS,10002752,0000000,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000275,0,1
SKU000064,EA,10002895,3261711,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000285,1,0
SKU000065,CS,10002826,3395128,Carbonated Soft Drinks,Coca-Cola,No Sugar,Coca-Cola No Sugar 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000282,0,1
SKU000066,EA,10002941,2707333,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000292,1,0
SKU000067,CS,10002934,0000000,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000299,0,1
SKU000068,EA,10003055,2958843,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000308,1,0
SKU000069,CS,10003016,3710274,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000305,0,1
SKU000070,DSP,10003061,2423138,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 330ml PET Bottle Display 6,6 x 330ml,330,PET,DSP,6,6,8,5,2.26,1.98,17.52,28.24,GTIN-14,26001000000302,1,1
SKU000071,EA,10003123,1797793,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000315,1,0
SKU000072,CS,10003178,2769499,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000312,0,1
SKU000073,DSP,10003169,2047764,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,25.2,40.62,GTIN-14,26001000000319,1,1
SKU000074,EA,10003219,3308231,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000322,1,0
SKU000075,CS,10003222,0000000,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000329,0,1
SKU000076,EA,10003311,1991447,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.51,8.54,EAN-13,6001000000339,1,0
SKU000077,CS,10003331,3018963,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,66.12,102.49,GTIN-14,16001000000336,0,1
SKU000078,DSP,10003361,1245934,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L Can Display 6,6 x 1L,1000,CAN,DSP,6,6,5,4,6.22,6.0,33.06,53.29,GTIN-14,26001000000333,1,1
SKU000079,EA,10003431,2637547,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.59,7.11,EAN-13,6001000000346,1,0
SKU000080,CS,10003443,2908443,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,55.08,85.37,GTIN-14,16001000000343,0,1
SKU000081,DSP,10003499,3331061,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 1L PET Bottle Display 6,6 x 1L,1000,PET,DSP,6,6,5,4,6.28,6.0,27.54,44.39,GTIN-14,26001000000340,1,1
SKU000082,EA,10003594,1649264,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000353,1,0
SKU000083,CS,10003534,1245296,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000350,0,1
SKU000084,EA,10003679,0000000,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000360,1,0
SKU000085,CS,10003650,0000000,Carbonated Soft Drinks,Coca-Cola,Zero,Coca-Cola Zero 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000367,0,1
SKU000086,EA,10003774,3227704,Carbonated Soft Drinks,Sprite,Original,Sprite 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000377,1,0
SKU000087,CS,10003730,0000000,Carbonated Soft Drinks,Sprite,Original,Sprite 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000374,0,1
SKU000088,EA,10003833,0000000,Carbonated Soft Drinks,Sprite,Original,Sprite 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000384,1,0
SKU000089,CS,10003818,1986516,Carbonated Soft Drinks,Sprite,Original,Sprite 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000381,0,1
SKU000090,EA,10003982,3493594,Carbonated Soft Drinks,Sprite,Original,Sprite 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000391,1,0
SKU000091,CS,10003915,2758356,Carbonated Soft Drinks,Sprite,Original,Sprite 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000398,0,1
SKU000092,EA,10004082,2093730,Carbonated Soft Drinks,Sprite,Original,Sprite 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000407,1,0
SKU000093,CS,10004036,2317782,Carbonated Soft Drinks,Sprite,Original,Sprite 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000404,0,1
SKU000094,DSP,10004060,1548943,Carbonated Soft Drinks,Sprite,Original,Sprite 500ml PET Bottle Display 6,6 x 500ml,500,PET,DSP,6,6,6,4,3.28,3.0,20.04,32.3,GTIN-14,26001000000401,1,1
SKU000095,EA,10004195,2917738,Carbonated Soft Drinks,Sprite,Original,Sprite 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.51,8.54,EAN-13,6001000000414,1,0
SKU000096,CS,10004150,1304267,Carbonated Soft Drinks,Sprite,Original,Sprite 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,66.12,102.49,GTIN-14,16001000000411,0,1
SKU000097,DSP,10004189,3361366,Carbonated Soft Drinks,Sprite,Original,Sprite 1L Can Display 6,6 x 1L,1000,CAN,DSP,6,6,5,4,6.22,6.0,33.06,53.29,GTIN-14,26001000000418,1,1
SKU000098,EA,10004222,0000000,Carbonated Soft Drinks,Sprite,Original,Sprite 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.59,7.11,EAN-13,6001000000421,1,0
SKU000099,CS,10004237,1555563,Carbonated Soft Drinks,Sprite,Original,Sprite 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,55.08,85.37,GTIN-14,16001000000428,0,1
SKU000100,EA,10004318,2549908,Carbonated Soft Drinks,Sprite,Original,Sprite 1.5L Can,1.5L,1500,CAN,EA,1,8,4,4,1.52,1.5,6.81,10.55,EAN-13,6001000000438,1,0
SKU000101,CS,10004346,0000000,Carbonated Soft Drinks,Sprite,Original,Sprite 1.5L Can Case 8,8 x 1.5L,1500,CAN,CS,8,8,4,4,12.56,12.0,54.48,84.44,GTIN-14,16001000000435,0,1
SKU000102,EA,10004448,3742975,Carbonated Soft Drinks,Sprite,Original,Sprite 1.5L PET Bottle,1.5L,1500,PET,EA,1,8,4,4,1.53,1.5,5.83,9.04,EAN-13,6001000000445,1,0
SKU000103,CS,10004477,0000000,Carbonated Soft Drinks,Sprite,Original,Sprite 1.5L PET Bottle Case 8,8 x 1.5L,1500,PET,CS,8,8,4,4,12.64,12.0,46.64,72.29,GTIN-14,16001000000442,0,1
SKU000104,EA,10004548,1434473,Carbonated Soft Drinks,Sprite,Original,Sprite 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000452,1,0
SKU000105,CS,10004527,1448941,Carbonated Soft Drinks,Sprite,Original,Sprite 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000459,0,1
SKU000106,EA,10004629,3536840,Carbonated Soft Drinks,Sprite,Original,Sprite 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000469,1,0
SKU000107,CS,10004636,1853949,Carbonated Soft Drinks,Sprite,Original,Sprite 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000466,0,1
SKU000108,EA,10004743,2053278,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000476,1,0
SKU000109,CS,10004716,0000000,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000473,0,1
SKU000110,EA,10004845,0000000,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000483,1,0
SKU000111,CS,10004852,3672247,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000480,0,1
SKU000112,EA,10004930,3313915,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000490,1,0
SKU000113,CS,10004964,1469233,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000497,0,1
SKU000114,DSP,10004998,1625178,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,25.2,40.62,GTIN-14,26001000000494,1,1
SKU000115,EA,10005079,0000000,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000506,1,0
SKU000116,CS,10005057,1621150,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000503,0,1
SKU000117,EA,10005115,1167331,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000513,1,0
SKU000118,CS,10005155,2046603,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000510,0,1
